date,temperature_C,precipitation_mmd,pet_mmd,streamflow_mmd,aet_mm,SM_%
1992-05-17,10.1516710670952,0.0,3.02124562362147,0.13,3.40064060423643,0.116306965970743
1992-05-18,12.5524128901975,0.01,3.4248029903698,0.13,3.00356988464632,0.113420134624652
1992-05-19,15.1958905888549,0.0,3.91700583528671,0.14,3.3086096687663,0.111269802726693
1992-05-20,16.8375261052281,0.0,4.17935119533075,0.13,3.55300014057467,0.109461902467082
1992-05-21,15.6667742633192,0.0,3.85453757022944,0.12,3.915782693413,0.108036631585493
1992-05-22,14.946719982636,0.0,3.7773812266634,0.12,3.49337508481356,0.105469550888429
1992-05-23,14.8612521055329,0.0,3.90986191046138,0.12,3.30357937322509,0.103032891320907
1992-05-24,17.2675040335053,0.0,4.0224490990833,0.11,3.21243491864974,0.102411705815598
1992-05-25,17.3116770120559,0.0,3.67805739693741,0.11,3.40485116166453,0.101268388079656
1992-05-26,16.1817335430939,0.0,4.15494084265645,0.11,3.29175581254305,0.0989948450883766
1992-05-27,15.1973778804651,0.05,4.21766162030437,0.09,3.39909194097404,0.0973373295816686
1992-05-28,16.4159555980803,6.65,3.44908867697442,0.17,3.08953986292885,0.0958446531005643
1992-05-29,16.238389624216,4.23,2.04378030382706,0.17,2.7968060525675,0.137674662272452
1992-05-30,15.600765623365,5.69,1.77064846855083,0.19,2.52534005069925,0.156360710121722
1992-05-31,14.9558688019433,6.86,3.22684353569005,0.16,2.22291980058916,0.15834774200569
1992-06-01,15.5975615827374,4.19,1.94143451157116,0.15,3.29231826528426,0.17219229250548
1992-06-02,16.1130707851511,0.0,2.86478679665143,0.14,2.43082927359689,0.158415750773392
1992-06-03,15.1243598618465,9.91,2.85119187240674,0.14,3.16722391834182,0.150642122281468
1992-06-04,11.5980922686664,15.9,0.977415608942552,0.27,2.95747365321844,0.173782290484556
1992-06-05,12.6919421892983,1.89,1.44145759090903,0.19,1.94208906783212,0.170271071245356
1992-06-06,15.7665595088244,0.0,3.96188114620075,0.17,1.69534855071575,0.153999602033361
1992-06-07,14.6638339852035,0.19,3.0052135356986,0.15,4.06788588771897,0.143036933169587
1992-06-08,16.0462109159578,0.26,2.25055276909636,0.15,2.97222854269128,0.141665922551961
1992-06-09,15.9492463235114,0.27,3.15973328480576,0.13,2.36633236129438,0.147225227353988
1992-06-10,15.6264509928432,0.0,3.04502424711139,0.12,3.35054522560489,0.151279649291899
1992-06-11,15.7799543663942,0.0,4.23963974916225,0.12,3.24459567425712,0.144935675532824
1992-06-12,16.1146873072217,0.0,4.47902221412586,0.12,4.42726023254856,0.133987062975112
1992-06-13,16.3724578537871,0.0,4.37909192485939,0.11,4.55368953126092,0.126477858442023
1992-06-14,17.8797557259813,0.0,3.878099548853,0.12,4.34295255690813,0.120818993579679
