gridcode,Lp,Lp_lower_CI,Lp_higer_CI,gamma,gamma_low,gamma_high,R2
1104,0.33850623927950896,0.3349811451624826,0.34206842888299277,0.9240407202017381,0.8859247592903433,0.9621566811131329,0.7149955026983588
1105,0.34312070133255324,0.3401766049834225,0.3460902776917317,1.0596312084262358,1.0194181713985078,1.0998442454539639,0.7005630272664609
1106,0.33635032405484666,0.3327034772431064,0.34003714487521014,0.9594707020027816,0.9098302588547291,1.009111145150834,0.7049833180350041
1107,0.3534756865453412,0.3495055958177237,0.35749087417719744,1.0558299366163368,1.0028409483337923,1.1088189248988813,0.6672796505197711
1108,0.322134050002493,0.3195126383142384,0.32477696881883994,1.1017820739930624,1.0547596380019348,1.14880450998419,0.6806805187601708
1109,0.29630933750297245,0.29344309863649365,0.29920357268382325,1.0713698112130277,1.0439137846924165,1.0988258377336388,0.6953891168277512
111,0.351130608957406,0.3342771674811879,0.36883375994783507,1.6314674346599056,1.424392051865966,1.8385428174538452,0.619074046614352
1110,0.32956671349018457,0.32644251708406224,0.33272080981029856,1.081279666074023,1.0573297390904035,1.1052295930576423,0.6995107614031864
1111,0.2845329196866857,0.2824196104449231,0.2866620425468591,1.353884501608085,1.3195767149314173,1.3881922882847526,0.7235343440171534
1112,0.2850134493409429,0.28283277829889475,0.2872109335905062,1.4872265601645493,1.449810245963998,1.5246428743651006,0.6830596168118277
1113,0.2761229927921505,0.27399341482481165,0.2782691226256058,1.3025102201595904,1.2670815598840877,1.3379388804350931,0.6872157379916009
1114,0.30383904250415517,0.30149917205462695,0.30619707218670306,1.2955372579915765,1.2577612654873582,1.3333132504957947,0.7024949263974645
1115,0.29659364525980114,0.29420999820022004,0.29899660428477903,1.3006345851232912,1.2649706376360503,1.336298532610532,0.6840745686618632
1116,0.326048681721546,0.3230920573747395,0.3290323622194667,1.2849653295674413,1.243424883062096,1.3265057760727865,0.672115017804948
1117,0.317194250634984,0.31441115386067625,0.32000198275558933,1.1720159222174047,1.1304616328947021,1.2135702115401072,0.6854636185512122
1118,0.3253598536871385,0.3225672443234992,0.3281766399230273,1.196713528128888,1.1553136009815765,1.2381134552761996,0.6747479534357897
1119,0.29090582183504105,0.2880658990766276,0.29377374221934355,0.955118187270048,0.9313194555625339,0.9789169189775622,0.7218239374213402
112,0.4826321252870055,0.434776313880364,0.5357554239331157,0.9971366930745899,0.7833126392277463,1.2109607469214334,0.6662844539856378
1120,0.3014933230315089,0.29847449384526925,0.3045426852443341,0.9319242049431721,0.9070665054430154,0.9567819044433288,0.7081696880410393
1121,0.30238689835965954,0.2993774632578778,0.3054265852363521,0.8657238003229247,0.8355587318224212,0.8958888688234282,0.6956066643982262
1122,0.25916077849844965,0.25749724549933833,0.26083505857189876,2.458823308584666,2.412053293499185,2.505593323670147,0.7017643463937826
1123,0.24856211401447154,0.24732386573792314,0.24980656168787072,2.559208602855407,2.5262064313639545,2.592210774346859,0.7877467091543084
1124,0.2544873329240111,0.253595037114116,0.2553827683529674,2.693561085278435,2.6323892948328123,2.7547328757240575,0.17506057698751099
1125,0.20000000000000007,0.2,0.20197925394085975,1.7162614852759548,1.681474415986559,1.7510485545653507,0.7230814020604286
1126,0.24684373925755354,0.24576227583691787,0.24792996159867933,3.097645725353326,3.0490353793758795,3.146256071330772,0.6960321223302561
1127,0.3041154708479427,0.3027095568805282,0.30552791448724514,3.0458849703463953,2.9875492805652106,3.10422066012758,0.6347410097911104
1128,0.29652610486561054,0.29522849536330864,0.29782941771446236,3.0245041666156043,2.970143148144524,3.0788651850866846,0.6232140954301226
